,,,,,,,,,Process name,Use & collection (BAU),"air separation, cryogenic | nitrogen, liquid | APOS, S","chemical factory construction, organics | chemical factory, organics | APOS, S","chemical production, inorganic | chemical, inorganic | APOS, S","chemical production, organic | chemical, organic | APOS, S","diesel production, petroleum refinery operation | diesel | APOS, S",Fossil-ethylene production,Fossil-MEG production,Fossil-propylene production,Fossil-styrene production,Fossil-TPA production,"hard coal mine operation and hard coal preparation | hard coal | APOS, S",HDPE production (BAU),"heat production, natural gas, at industrial furnace low-NOx >100kW | heat, district or industrial, natural gas | APOS, S","heavy fuel oil production, petroleum refinery operation | heavy fuel oil | APOS, S","incineration, electricity recovery, plastic residues (BAU)","landfill, plastic residues (BAU)",LDPE production (BAU),"liquefied petroleum gas production, petroleum refinery operation | liquefied petroleum gas | APOS, S","market for compressed air, 600 kPa gauge | compressed air, 600 kPa gauge | APOS, S","market for hydrogen, liquid | hydrogen, liquid | APOS, S","market for municipal solid waste | municipal solid waste | APOS, S","market for polyethylene, low density, granulate | polyethylene, low density, granulate | APOS, S","market for polystyrene, general purpose | polystyrene, general purpose | APOS, S","market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | APOS, S","market for wastewater, average | wastewater, average | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for natural gas, high pressure | natural gas, high pressure | APOS, S","mechanical recycling, HDPE sorted (BAU)","mechanical recycling, LDPE sorted (BAU)","mechanical recycling, PET sorted (BAU)","mechanical recycling, PP sorted (BAU)","mechanical recycling, PS sorted (BAU)",open burning,PET production (BAU),"polyethylene terephthalate, granulate, amorphous, recycled to generic market for amorphous PET granulate | polyethylene terephthalate, granulate, amorphous | APOS, S","polyethylene, high density, granulate, recycled to generic market for high density PE granulate | polyethylene, high density, granulate | APOS, S","polypropylene production, granulate | polypropylene, granulate | APOS, S","polyvinylchloride production, bulk polymerisation | polyvinylchloride, bulk polymerised | APOS, S",PP production (BAU),PS production (BAU),"solvent production, organic | solvent, organic | APOS, S",Sorting (BAU),"steam production, as energy carrier, in chemical industry | heat, from steam, in chemical industry | APOS, S","tap water production, conventional treatment | tap water | APOS, S","titanium tetrachloride production | titanium tetrachloride | APOS, S","treatment of hazardous waste, hazardous waste incineration, with energy recovery | hazardous waste, for incineration | APOS, S","treatment of municipal solid waste, sanitary landfill | municipal solid waste | APOS, S","treatment of waste plastic, mixture, open burning | waste plastic, mixture | APOS, S","treatment of waste plastic, mixture, sanitary landfill | waste plastic, mixture | APOS, S","treatment of wastewater, average, capacity 1E9l/year | wastewater, average | APOS, S","treatment of wastewater, unpolluted, capacity 5E9l/year | wastewater, unpolluted | APOS, S"
,,,,,,,,,Product name,plastic packaging consumption,"nitrogen, liquid","chemical factory, organics","chemical, inorganic","chemical, organic",diesel,ethylene,ethylene glycol,propylene,styrene,purified terephthalic acid,hard coal,"polyethylene, high density, granulate","heat, district or industrial, natural gas",heavy fuel oil,plastic residues,plastic residues,"polyethylene, low density, granulate",liquefied petroleum gas,"compressed air, 600 kPa gauge","hydrogen, liquid",municipal solid waste,"polyethylene, low density, granulate","polystyrene, general purpose","sodium hydroxide, without water, in 50% solution state","wastewater, average","electricity, medium voltage","natural gas, high pressure","HDPE waste, sorted","LDPE waste, sorted","PET waste, sorted","PP waste, sorted","PS waste, sorted",plastic residues,"polyethylene terephthalate, granulate, amorphous","polyethylene terephthalate, granulate, amorphous","polyethylene, high density, granulate","polypropylene, granulate","polyvinylchloride, bulk polymerised","polypropylene, granulate","polystyrene, general purpose","solvent, organic",plastic packaging waste,"heat, from steam, in chemical industry",tap water,titanium tetrachloride,"hazardous waste, for incineration",municipal solid waste,"waste plastic, mixture","waste plastic, mixture","wastewater, average","wastewater, unpolluted"
,,,,,,,,,Multi-Output process,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
,,,,,,,,,UUID,75d2b6dc-46d5-42a5-9f26-e6cba79d168c,159edf36-233e-4e2c-aec0-b0ac0d49f528,3d0fe4e0-eac9-4704-b3fd-09b8594d0fbe,73b452c8-3ac4-4993-86e4-fe0653467988,2be73167-58e8-4706-a68f-167c80df9f72,291fc06d-1b3e-4077-aabb-346b588ed24b,44e8a892-3178-4352-a898-722e68990fe9,4052f31f-cd94-4b86-b075-210914586a0f,b658a402-79b9-4a02-a818-f6090adb13f1,0df0db82-8e1d-4053-8cfc-5019470a86a7,d479404a-f180-41cc-a587-4425b64e4a00,0d3eda5a-4601-4573-9549-0701c459ab88,b685192a-e033-421e-9074-8fe7cb176046,1125e767-7b5d-442e-81d6-9b0d3e1919ac,2966d161-5281-47d6-86d3-efbb0a4b2110,04906fa3-52b5-48a3-a82e-d21f7c304b06,04906fa3-52b5-48a3-a82e-d21f7c304b06,947a85fa-114e-4d9e-b36c-3293e48ea5ae,9d447e1a-a41a-43ac-b374-d0fc6dcb61df,58c5a1af-21fa-4cd1-a7a2-a63f454b411e,8d78a0dc-1489-48c1-8bc4-7c120f318216,27da8130-82ba-485c-a800-b89efdcb0491,947a85fa-114e-4d9e-b36c-3293e48ea5ae,a71a3671-f294-46ad-8adb-885e61d6ae4e,61396bcb-bf35-411a-a6a6-8543ccef83e8,e8a51ec1-60cb-4ead-a948-ad1142c61918,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,a9007f10-7e39-4d50-8f4a-d6d03ce3d673,7ff64ef6-765e-4611-819b-37d4607d61e6,431aed04-35df-4d29-9200-d426a6ebc581,3d20a581-6a2f-4bb8-880a-021ed8cd8b17,8ae0df0b-ba37-4bdb-b1d2-bbf9b305ea3d,c24c3186-ac23-4098-aaf9-0d761856927c,04906fa3-52b5-48a3-a82e-d21f7c304b06,d585421f-a3a1-45bc-bd94-188f65865b9c,d585421f-a3a1-45bc-bd94-188f65865b9c,b685192a-e033-421e-9074-8fe7cb176046,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,1768722c-0cb1-4b0b-9183-2ff16919120e,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,a71a3671-f294-46ad-8adb-885e61d6ae4e,c6c77fb4-9850-4849-be9e-71fc9656bc03,0826aa7d-be93-448e-b0d2-cec5e2a516fc,63ead738-2005-498c-8359-7f65c134a1a4,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,aeaa3b03-0475-4c6a-9a5e-eb2323dc481a,e5208079-1561-4537-a1f8-863db2702d0f,27da8130-82ba-485c-a800-b89efdcb0491,88afd721-07ec-4910-a004-fa3fecb6bf70,88afd721-07ec-4910-a004-fa3fecb6bf70,e8a51ec1-60cb-4ead-a948-ad1142c61918,3055997a-d565-4c92-9a91-431801587a3b
,,,,,,,,,Infrastructure product,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
,,,,,,,,,Process location,,RoW,RoW,GLO,GLO,RoW,,,,,,RoW,,RoW,RoW,,,,RoW,RoW,RoW,MT,GLO,GLO,GLO,RoW,GLO,GLO,,,,,,,,US,US,RoW,RoW,,,GLO,,RoW,RoW,RoW,RoW,RoW,GLO,RoW,RoW,RoW
,,,,,,,,,Process category,Analysis,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",429:Construction of other civil engineering projects,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",20:Manufacture of chemicals and chemical products,192:Manufacture of refined petroleum products,Design,Design,Design,Design,Design,051:Mining of hard coal,Analysis,353:Steam and air conditioning supply,192:Manufacture of refined petroleum products,Analysis,Analysis,Analysis,192:Manufacture of refined petroleum products,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",192:Manufacture of refined petroleum products,382:Waste treatment and disposal,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",370:Sewerage,"351:Electric power generation, transmission and distribution",493:Transport via pipeline,Analysis,Analysis,Analysis,Analysis,Analysis,Analysis,Analysis,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",Analysis,Analysis,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",Analysis,353:Steam and air conditioning supply,"360:Water collection, treatment and supply",242:Manufacture of basic precious and other non-ferrous metals,382:Waste treatment and disposal,382:Waste treatment and disposal,382:Waste treatment and disposal,382:Waste treatment and disposal,370:Sewerage,370:Sewerage
,,,,,,,,,Process sub category,BAU,2011:Manufacture of basic chemicals,4290:Construction of other civil engineering projects,2011:Manufacture of basic chemicals,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",1920:Manufacture of refined petroleum products,A0: Monomer production,A0: Monomer production,A0: Monomer production,A0: Monomer production,A0: Monomer production,0510:Mining of hard coal,BAU,3530:Steam and air conditioning supply,1920:Manufacture of refined petroleum products,BAU,BAU,BAU,1920:Manufacture of refined petroleum products,2011:Manufacture of basic chemicals,1920:Manufacture of refined petroleum products,3821:Treatment and disposal of non-hazardous waste,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,2011:Manufacture of basic chemicals,3700:Sewerage,"3510:Electric power generation, transmission and distribution",4930:Transport via pipeline,BAU,BAU,BAU,BAU,BAU,BAU,BAU,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,BAU,BAU,2011:Manufacture of basic chemicals,BAU,3530:Steam and air conditioning supply,"3600:Water collection, treatment and supply",2420:Manufacture of basic precious and other non-ferrous metals,3822:Treatment and disposal of hazardous waste,3821:Treatment and disposal of non-hazardous waste,3821:Treatment and disposal of non-hazardous waste,3821:Treatment and disposal of non-hazardous waste,3700:Sewerage,3700:Sewerage
,,,,,,,,,Product/Service unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process name,Product name,Multi-Output process,UUID,Infrastructure product,Process location,Process category,Process sub category,Product/Service unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
